Date,Time,Open,Max,Min,Closure,Volume
2014.07.22,00:00,1.3523,1.3529,1.3458,1.3465,4424
2014.07.23,00:00,1.3466,1.3473,1.3454,1.3462,3394
2014.07.24,00:00,1.3461,1.3484,1.3437,1.3462,4200
2014.07.25,00:00,1.3461,1.3475,1.3420,1.3429,4401
2014.07.28,00:00,1.3430,1.3443,1.3426,1.3439,2880
2014.07.29,00:00,1.3438,1.3444,1.3403,1.3408,3767
2014.07.30,00:00,1.3409,1.3414,1.3366,1.3394,5023
2014.07.31,00:00,1.3395,1.3400,1.3371,1.3388,4365
2014.08.01,00:00,1.3387,1.3444,1.3378,1.3428,5820
2014.08.04,00:00,1.3425,1.3430,1.3409,1.3421,2819
2014.08.05,00:00,1.3422,1.3424,1.3357,1.3371,4066
2014.08.06,00:00,1.3372,1.3387,1.3332,1.3383,5469
2014.08.07,00:00,1.3382,1.3393,1.3336,1.3361,5831
2014.08.08,00:00,1.3360,1.3432,1.3343,1.3408,6294
2014.08.11,00:00,1.3406,1.3408,1.3380,1.3384,2976
2014.08.12,00:00,1.3383,1.3385,1.3335,1.3367,3740
2014.08.13,00:00,1.3368,1.3414,1.3341,1.3363,4803
2014.08.14,00:00,1.3362,1.3407,1.3348,1.3363,4772
2014.08.15,00:00,1.3364,1.3411,1.3358,1.3399,5189
2014.08.18,00:00,1.3391,1.3398,1.3352,1.3361,3626
2014.08.19,00:00,1.3362,1.3363,1.3312,1.3317,4554
2014.08.20,00:00,1.3318,1.3323,1.3255,1.3258,5574
2014.08.21,00:00,1.3257,1.3288,1.3241,1.3281,5005
2014.08.22,00:00,1.3280,1.3296,1.3220,1.3241,6341
2014.08.25,00:00,1.3192,1.3210,1.3183,1.3190,3648
2014.08.26,00:00,1.3189,1.3214,1.3164,1.3168,4732
2014.08.27,00:00,1.3169,1.3209,1.3152,1.3193,4988
2014.08.28,00:00,1.3192,1.3220,1.3159,1.3183,4964
2014.08.29,00:00,1.3182,1.3195,1.3131,1.3131,4833
2014.09.01,00:00,1.3129,1.3145,1.3118,1.3127,2585
